t,iso,vram_total_mb,server_pid,vram_server_mb,rss_mb,uptime_s,health_ms,health
1785944958.4,17:49:18,19995,74800,18996,9592,175,8,200
1785944978.5,17:49:38,20004,74800,19004,10416,195,6,200
1785944998.7,17:49:58,20004,74800,19004,10401,215,6,200
1785945018.8,17:50:18,20005,74800,19004,10205,235,6,200
1785945038.9,17:50:38,19996,74800,19004,10297,256,6,200
1785945059.0,17:50:59,20014,74800,19022,10147,276,6,200
1785945079.2,17:51:19,20014,74800,19022,10286,296,8,200
1785945099.3,17:51:39,20014,74800,19022,10532,316,6,200
1785945119.4,17:51:59,20022,74800,19030,10035,336,6,200
1785945139.5,17:52:19,20022,74800,19030,10953,356,6,200
1785945159.7,17:52:39,20022,74800,19030,10360,376,7,200
1785945179.8,17:52:59,20026,74800,19034,10150,396,6,200
1785945199.9,17:53:19,20030,74800,19038,10561,416,6,200
1785945220.0,17:53:40,20022,74800,19038,10648,437,6,200
1785945240.2,17:54:00,20038,74800,19046,10616,457,17,200
1785945260.3,17:54:20,20038,74800,19046,10530,477,6,200
1785945280.4,17:54:40,20046,74800,19054,10558,497,6,200
1785945300.6,17:55:00,20046,74800,19054,10448,517,6,200
1785945320.7,17:55:20,20046,74800,19054,10448,537,6,200
1785945340.8,17:55:40,20033,74800,19054,10448,557,6,200
1785945361.0,17:56:00,20041,74800,19054,10529,578,6,200
1785945381.1,17:56:21,20041,74800,19054,10529,598,6,200
1785945401.2,17:56:41,20041,74800,19054,10529,618,6,200
1785945421.3,17:57:01,20041,74800,19054,10529,638,6,200
1785945441.4,17:57:21,974,74800,-1,0,658,6,503
1785945461.6,17:57:41,982,74800,-1,0,678,6,200
1785945481.7,17:58:01,982,74800,-1,0,698,8,200
1785945501.9,17:58:21,982,74800,-1,0,718,7,200
1785945522.0,17:58:42,982,74800,-1,0,739,9,200
1785945542.2,17:59:02,982,74800,-1,0,759,9,200
1785945562.3,17:59:22,982,74800,-1,0,779,7,200
1785945582.4,17:59:42,982,86336,-1,26278,10,6,503
1785945602.6,18:00:02,977,86336,-1,29705,30,12,200
1785945622.7,18:00:22,976,86336,-1,29774,50,10,200
1785945642.9,18:00:42,976,86336,-1,29781,70,6,200
1785945663.0,18:01:03,977,86336,-1,30006,90,7,200
1785945683.2,18:01:23,972,86336,-1,30305,111,33,200
1785945703.7,18:01:43,978,86336,-1,30305,131,27,200
1785945724.1,18:02:04,979,87135,-1,29372,15,9,200
1785945744.3,18:02:24,979,87135,-1,29789,35,9,200
1785945764.4,18:02:44,971,87135,-1,29789,55,8,200
1785945784.6,18:03:04,979,87135,-1,29827,75,10,200
1785945804.7,18:03:24,996,87135,-1,30364,96,11,200
1785945824.9,18:03:44,987,87135,-1,30364,116,10,200
1785945845.0,18:04:05,989,87135,-1,0,136,6,000
1785945865.2,18:04:25,988,87872,-1,29375,20,9,200
1785945885.3,18:04:45,988,87872,-1,29790,40,7,200
1785945905.5,18:05:05,990,87872,-1,29796,60,7,200
1785945925.6,18:05:25,993,87872,-1,30365,80,7,200
1785945945.8,18:05:45,991,87872,-1,30365,100,6,200
1785945965.9,18:06:05,539,,-1,-1,-1,5,000
1785945986.0,18:06:26,19361,90060,18828,1160,7,6,200
1785946006.1,18:06:46,19967,90060,18956,3206,27,6,200
1785946026.3,18:07:06,19976,90060,18974,4398,47,6,200
1785946046.4,18:07:26,19984,90060,18974,5728,67,6,200
1785946066.5,18:07:46,19994,90060,18982,8381,87,6,200
1785946086.6,18:08:06,19994,90060,18990,9864,107,6,200
1785946106.8,18:08:26,20012,90060,18994,10071,127,6,200
1785946126.9,18:08:46,20021,90060,18998,10209,147,6,200
